news_headline,news_article,news_category,full_text,clean_text
"Apple CEO Tim Cook reveals he owns cryptocurrency, says 'it's interesting'","Apple CEO Tim Cook revealed that he personally owns cryptocurrency when he was asked at an NYT conference if he owns Bitcoin or Ether. He said that he has been researching the topic and ""it is interesting"". Cook added that Apple has no plans in the immediate future to accept cryptocurrency as a means of payment for its products.",technology,"Apple CEO Tim Cook reveals he owns cryptocurrency, says 'it's interesting'. Apple CEO Tim Cook revealed that he personally owns cryptocurrency when he was asked at an NYT conference if he owns Bitcoin or Ether. He said that he has been researching the topic and ""it is interesting"". Cook added that Apple has no plans in the immediate future to accept cryptocurrency as a means of payment for its products.",apple ceo tim cook reveal cryptocurrency say interesting apple ceo tim cook reveal personally cryptocurrency ask nyt conference bitcoin ether say research topic interesting cook add apple no plan immediate future accept cryptocurrency means payment product
"Another OnePlus Nord 2 explodes, user's thigh severely burnt","A boy's thigh was severely burnt after OnePlus Nord 2 exploded in his jeans pocket, according to Twitter user Suhit Sharma. Sharing pictures of the burnt phone and the boy's thigh, he tweeted, ""Stop playing with people's lives."" Earlier, a OnePlus Nord 2 exploded in a user's bag and a lawyer also alleged that the smartphone exploded in his coat.",technology,"Another OnePlus Nord 2 explodes, user's thigh severely burnt. A boy's thigh was severely burnt after OnePlus Nord 2 exploded in his jeans pocket, according to Twitter user Suhit Sharma. Sharing pictures of the burnt phone and the boy's thigh, he tweeted, ""Stop playing with people's lives."" Earlier, a OnePlus Nord 2 exploded in a user's bag and a lawyer also alleged that the smartphone exploded in his coat.",another oneplus nord explode user thigh severely burn boy thigh severely burn oneplus nord explode jean pocket accord twitt user suhit sharma share picture burn phone boy thigh tweet stop play people life earlier oneplus nord explode user bag lawyer also allege smartphone explode coat
Musk's brother sold $109 mn of Tesla stock a day before his poll on stock sale,"Elon Musk's younger brother and Tesla board member Kimbal Musk sold Tesla shares worth around $109 million on November 5, US SEC filing showed. Kimbal sold 88,500 shares for an average price of around $1,230. The transactions were made a day before Elon created a Twitter poll asking users whether or not he should sell 10% of his Tesla stock.",technology,"Musk's brother sold $109 mn of Tesla stock a day before his poll on stock sale. Elon Musk's younger brother and Tesla board member Kimbal Musk sold Tesla shares worth around $109 million on November 5, US SEC filing showed. Kimbal sold 88,500 shares for an average price of around $1,230. The transactions were made a day before Elon created a Twitter poll asking users whether or not he should sell 10% of his Tesla stock.",musk brother sell mn tesla stock day poll stock sale elon musk young brother tesla board member kimbal musk sell tesla share worth around million november us sec filing show kimbal sell share average price around transaction make day elon create twitt poll ask user whether not sell tesla stock
Google loses appeal against $2.8 billion EU antitrust fine,Google lost its appeal against a $2.8 billion antitrust fine issued by EU's competition regulator. The fine was issued against Google for favouring its own price-comparison shopping service in its search results over its competitors. Court said the Commission correctly found that Google's practices swatted away its argument that presence of merchant platforms showed there was strong competition.,technology,Google loses appeal against $2.8 billion EU antitrust fine. Google lost its appeal against a $2.8 billion antitrust fine issued by EU's competition regulator. The fine was issued against Google for favouring its own price-comparison shopping service in its search results over its competitors. Court said the Commission correctly found that Google's practices swatted away its argument that presence of merchant platforms showed there was strong competition.,google lose appeal billion eu antitrust fine google lose appeal billion antitrust fine issue eu competition regulator fine issue google favour price comparison shopping service search result competitor court say commission correctly find google practice swat away argument presence merchant platform show strong competition
Number of participants in crypto market somewhat exaggerated: RBI Governor,"RBI Governor Shaktikanta Das said, ""With a reasonable amount of confidence, I think the number of participants claimed in the cryptocurrency market are somewhat exaggerated."" Bulk of the investors or 70% have invested just ₹1,000-2,000 so there's an effort to enrol as many people as investors as possible, he added. Das further said that cryptocurrencies are a very serious concern.",technology,"Number of participants in crypto market somewhat exaggerated: RBI Governor. RBI Governor Shaktikanta Das said, ""With a reasonable amount of confidence, I think the number of participants claimed in the cryptocurrency market are somewhat exaggerated."" Bulk of the investors or 70% have invested just ₹1,000-2,000 so there's an effort to enrol as many people as investors as possible, he added. Das further said that cryptocurrencies are a very serious concern.",number participant crypto market somewhat exaggerate rbi governor rbi governor shaktikanta das say reasonable amount confidence think number participant claim cryptocurrency market somewhat exaggerated bulk investor invest effort enrol many people investor possible add das say cryptocurrencie serious concern
I believe in world peace through world trade: Apple CEO on China business,"Apple CEO Tim Cook at a summit defended Apple's China operations, saying he believes in former IBM CEO Tom Watson's saying ""world peace through world trade"". ""I think that we have a responsibility as a business to do business in as many places as we can,"" he added. Cook said Apple speaks on issues in China both privately and publicly.",technology,"I believe in world peace through world trade: Apple CEO on China business. Apple CEO Tim Cook at a summit defended Apple's China operations, saying he believes in former IBM CEO Tom Watson's saying ""world peace through world trade"". ""I think that we have a responsibility as a business to do business in as many places as we can,"" he added. Cook said Apple speaks on issues in China both privately and publicly.",believe world peace world trade apple ceo china business apple ceo tim cook summit defend apple china operation say believe former ibm ceo tom watson say world peace world trade think responsibility business business many place add cook say apple speak issue china privately publicly
Facebook Messenger gets end-to-end encrypted voice and video calls,"Facebook CEO Mark Zuckerberg announced that end-to-end encrypted voice and video calls have started rolling out on Messenger. ""We're introducing opt-in end-to-end encryption for group chats and group audio and video calls too,"" he said. End-to-end encryption protects the content of messages and calls from the moment it leaves the sender's device to the moment it reaches the receiver's device.",technology,"Facebook Messenger gets end-to-end encrypted voice and video calls. Facebook CEO Mark Zuckerberg announced that end-to-end encrypted voice and video calls have started rolling out on Messenger. ""We're introducing opt-in end-to-end encryption for group chats and group audio and video calls too,"" he said. End-to-end encryption protects the content of messages and calls from the moment it leaves the sender's device to the moment it reaches the receiver's device.",facebook messenger get end end encrypted voice video call facebook ceo mark zuckerberg announce end end encrypted voice video call start roll messenger introduce opt end end encryption group chat group audio video call say end end encryption protect content message call moment leave sender device moment reach receiver device
World past tipping point of renewable energy transformation: Tesla chair,"Tesla chair Robyn Denholm has said the world is ""already past the tipping point of renewable energy transformation and we already have technology needed to succeed"". ""We must now accelerate the deployment of them at an incredible pace,"" Denholm said at APEC CEO summit. Denholm revealed Tesla is aiming to produce 20 million electric vehicles each year by 2030.",technology,"World past tipping point of renewable energy transformation: Tesla chair. Tesla chair Robyn Denholm has said the world is ""already past the tipping point of renewable energy transformation and we already have technology needed to succeed"". ""We must now accelerate the deployment of them at an incredible pace,"" Denholm said at APEC CEO summit. Denholm revealed Tesla is aiming to produce 20 million electric vehicles each year by 2030.",world past tipping point renewable energy transformation tesla chair tesla chair robyn denholm say world already past tipping point renewable energy transformation already technology need succeed must accelerate deployment incredible pace denholm say apec ceo summit denholm reveal tesla aim produce million electric vehicle year
"Tomorrow's Google, Facebook will begin on blockchain: CoinSwitch CEO","CoinSwitch Kuber CEO Ashish Singhal in an interview said the platform believes ""tomorrow's Google, Facebook, Microsoft would originate on blockchain and hopefully, would come from India"".  Singhal said that cryptocurrency is a ""volatile market"". ""If you look at our own journey, we were under the hood for about three years, then blew up in just one year,"" he added.",technology,"Tomorrow's Google, Facebook will begin on blockchain: CoinSwitch CEO. CoinSwitch Kuber CEO Ashish Singhal in an interview said the platform believes ""tomorrow's Google, Facebook, Microsoft would originate on blockchain and hopefully, would come from India"".  Singhal said that cryptocurrency is a ""volatile market"". ""If you look at our own journey, we were under the hood for about three years, then blew up in just one year,"" he added.",tomorrow google facebook begin blockchain coinswitch ceo coinswitch kuber ceo ashish singhal interview say platform believe tomorrow google facebook microsoft would originate blockchain hopefully would come india singhal say cryptocurrency volatile market look journey hood three year blow one year add
NFTs going to be very large area for crypto in future: Coinbase CEO,"Coinbase CEO Brian Armstrong while discussing NFTs said, ""We are very excited about NFTs, this is going to be a very large area for crypto in the future, and it already is today."" Coinbase announced its plans to open an NFT marketplace in October. Armstrong added Coinbase's NFT marketplace ""could be as big or bigger"" than its cryptocurrency business.

",technology,"NFTs going to be very large area for crypto in future: Coinbase CEO. Coinbase CEO Brian Armstrong while discussing NFTs said, ""We are very excited about NFTs, this is going to be a very large area for crypto in the future, and it already is today."" Coinbase announced its plans to open an NFT marketplace in October. Armstrong added Coinbase's NFT marketplace ""could be as big or bigger"" than its cryptocurrency business.

",nft go large area crypto future coinbase ceo coinbase ceo brian armstrong discuss nft say excited nft go large area crypto future already today coinbase announce plan open nft marketplace october armstrong add coinbase nft marketplace could big big cryptocurrency business
FTX sued by US restaurant chain for allegedly copying its mascot,"American restaurant chain Jack in the Box is suing cryptocurrency exchange FTX claiming that it ""brazenly and illegally copied or derived its 'Moon Man' mascot"" from its established Jack mascot. FTX's mascot is a ""far inferior version"" of Jack and is ""tarnishing Jack's reputation to consumers"", the restaurant chain argued. Both mascots have big white round heads with blue-dotted eyes.",technology,"FTX sued by US restaurant chain for allegedly copying its mascot. American restaurant chain Jack in the Box is suing cryptocurrency exchange FTX claiming that it ""brazenly and illegally copied or derived its 'Moon Man' mascot"" from its established Jack mascot. FTX's mascot is a ""far inferior version"" of Jack and is ""tarnishing Jack's reputation to consumers"", the restaurant chain argued. Both mascots have big white round heads with blue-dotted eyes.",ftx sue us restaurant chain allegedly copy mascot american restaurant chain jack box sue cryptocurrency exchange ftx claim brazenly illegally copy derive moon man mascot establish jack mascot ftx mascot far inferior version jack tarnish jack reputation consumer restaurant chain argue mascot big white round head blue dot eye
Sony cuts PS5 production outlook due to component issue: Report,"Sony has reduced its PlayStation 5 production outlook for this fiscal year due to component and logistics constraints, Bloomberg reported. It has cut down the number of PS5 units assembled to about 15 million, from its previous target of 16 million units. Sony's manufacturing partners expect the PlayStation 5 to remain in tight supply through 2022.",technology,"Sony cuts PS5 production outlook due to component issue: Report. Sony has reduced its PlayStation 5 production outlook for this fiscal year due to component and logistics constraints, Bloomberg reported. It has cut down the number of PS5 units assembled to about 15 million, from its previous target of 16 million units. Sony's manufacturing partners expect the PlayStation 5 to remain in tight supply through 2022.",sony cut ps production outlook due component issue report sony reduce playstation production outlook fiscal year due component logistic constraint bloomberg report cut number ps unit assemble million previous target million unit sony manufacturing partner expect playstation remain tight supply
"Virgin Galactic sells 100 more tickets to space at $450,000 each","Billionaire Richard Branson's space tourism venture Virgin Galactic has sold around 100 tickets to space since reopening sales in August, the company said in its third quarter earnings. The company is now charging $450,000 per seat, up from $250,000 years ago. It plans to start commercial service by the end of 2022, with roughly 700 ticket holders as of now.",technology,"Virgin Galactic sells 100 more tickets to space at $450,000 each. Billionaire Richard Branson's space tourism venture Virgin Galactic has sold around 100 tickets to space since reopening sales in August, the company said in its third quarter earnings. The company is now charging $450,000 per seat, up from $250,000 years ago. It plans to start commercial service by the end of 2022, with roughly 700 ticket holders as of now.",virgin galactic sell ticket space billionaire richard branson space tourism venture virgin galactic sell around ticket space since reopen sale august company say third quarter earning company charge per seat year ago plan start commercial service end roughly ticket holder
5 mn Robinhood users' email addresses exposed in security breach,"Trading platform Robinhood said email addresses of about five million of its customers were accessed by an unauthorised third-party during a data breach on November 3. ""The...party socially engineered a customer support employee by phone and obtained access to certain customer support systems,"" it explained. Personal data, including name, birth date and zip code, of 310 users was also exposed.",technology,"5 mn Robinhood users' email addresses exposed in security breach. Trading platform Robinhood said email addresses of about five million of its customers were accessed by an unauthorised third-party during a data breach on November 3. ""The...party socially engineered a customer support employee by phone and obtained access to certain customer support systems,"" it explained. Personal data, including name, birth date and zip code, of 310 users was also exposed.",mn robinhood user email address expose security breach trading platform robinhood say email address five million customer access unauthorised third party data breach november party socially engineer customer support employee phone obtain access certain customer support system explain personal datum include name birth date zip code user also expose
New Zealand defeat England to reach T20 World Cup final for the first time,"New Zealand defeated England by five wickets in first semi-final of T20 World Cup 2021. With the win, New Zealand reached T20 World Cup final for the first time. New Zealand had also reached final of 50-over World Cup in 2019 and final of World Test Championship this year. New Zealand will face either Australia or Pakistan in the final.",sports,"New Zealand defeat England to reach T20 World Cup final for the first time. New Zealand defeated England by five wickets in first semi-final of T20 World Cup 2021. With the win, New Zealand reached T20 World Cup final for the first time. New Zealand had also reached final of 50-over World Cup in 2019 and final of World Test Championship this year. New Zealand will face either Australia or Pakistan in the final.",new zealand defeat england reach world cup final first time new zealand defeat england five wicket first semi final world cup win new zealand reach world cup final first time new zealand also reach final world cup final world test championship year new zealand face either australia pakistan final
"NZ's Mitchell refuses to run after blocking bowler, praised for sportsmanship","New Zealand's Daryl Mitchell refused to run a single after mistakenly blocking England spinner Adil Rashid in the 18th over of their T20 World Cup 2021 semi-final. He was praised for his sportsmanship. ""I didn’t want to be the guy that caused a bit of a controversy, so I was happy to just turn down the single,"" Mitchell said.",sports,"NZ's Mitchell refuses to run after blocking bowler, praised for sportsmanship. New Zealand's Daryl Mitchell refused to run a single after mistakenly blocking England spinner Adil Rashid in the 18th over of their T20 World Cup 2021 semi-final. He was praised for his sportsmanship. ""I didn’t want to be the guy that caused a bit of a controversy, so I was happy to just turn down the single,"" Mitchell said.",nz mitchell refuse run block bowler praise sportsmanship new zealand daryl mitchell refuse run single mistakenly block england spinner adil rashid th world cup semi final praise sportsmanship not want guy cause bit controversy happy turn single mitchell say
Jimmy Neesham's old 'Don't take up sport' tweet goes viral after semi-final win,"All-rounder Jimmy Neesham's tweet which he posted after his team New Zealand lost 2019 World Cup final has gone viral after New Zealand reached T20 World Cup 2021 final by beating England in semi-final. ""Kids...don't take up sport. Take up baking or something. Die at 60 really fat and happy,"" the tweet read. ""Kids...don't listen to him,"" a fan commented.",sports,"Jimmy Neesham's old 'Don't take up sport' tweet goes viral after semi-final win. All-rounder Jimmy Neesham's tweet which he posted after his team New Zealand lost 2019 World Cup final has gone viral after New Zealand reached T20 World Cup 2021 final by beating England in semi-final. ""Kids...don't take up sport. Take up baking or something. Die at 60 really fat and happy,"" the tweet read. ""Kids...don't listen to him,"" a fan commented.",jimmy neesham old not take sport tweet go viral semi final win rounder jimmy neesham tweet post team new zealand lose world cup final go viral new zealand reach world cup final beat england semi final kid dont take sport take baking something die really fat happy tweet read kid dont listen fan comment
Neesham's reaction after NZ's win over England in T20 WC semi-final goes viral,"A picture of New Zealand all-rounder Jimmy Neesham's reaction after New Zealand defeated England in the T20 World Cup 2021 semi-final has gone viral. In the picture, New Zealand players and staff can be seen celebrating the win in the dugout, while Neesham can be seen sitting in the corner looking indifferent. Neesham scored 27(11) to help New Zealand win.",sports,"Neesham's reaction after NZ's win over England in T20 WC semi-final goes viral. A picture of New Zealand all-rounder Jimmy Neesham's reaction after New Zealand defeated England in the T20 World Cup 2021 semi-final has gone viral. In the picture, New Zealand players and staff can be seen celebrating the win in the dugout, while Neesham can be seen sitting in the corner looking indifferent. Neesham scored 27(11) to help New Zealand win.",neesham reaction nz win england wc semi final go viral picture new zealand rounder jimmy neesham reaction new zealand defeat england world cup semi final go viral picture new zealand player staff see celebrate win dugout neesham see sit corner look indifferent neesham score help new zealand win
Doull recalls Dhoni's words during commentary while praising Mitchell in T20 WC semi,"While praising New Zealand opener Daryl Mitchell for his knock against England in the T20 World Cup semi-final, commentator Simon Doull recalled MS Dhoni's words. ""The great MS Dhoni always said that the deeper you take the game with the bat, the more the bowler feels under pressure,"" Doull said. Mitchell slammed 72*(47) to help New Zealand win.",sports,"Doull recalls Dhoni's words during commentary while praising Mitchell in T20 WC semi. While praising New Zealand opener Daryl Mitchell for his knock against England in the T20 World Cup semi-final, commentator Simon Doull recalled MS Dhoni's words. ""The great MS Dhoni always said that the deeper you take the game with the bat, the more the bowler feels under pressure,"" Doull said. Mitchell slammed 72*(47) to help New Zealand win.",doull recall dhoni word commentary praise mitchell wc semi praise new zealand opener daryl mitchell knock england world cup semi final commentator simon doull recall ms dhoni word great ms dhoni always say deep take game bat bowler feel pressure doull say mitchell slam help new zealand win
Nisha Dahiya who was shot dead & medallist Nisha Dahiya are 2 different people: Police,"After national level wrestler Nisha Dahiya denied reports claiming she and her brother were shot dead, police clarified, ""This Nisha Dahiya (who was shot dead) and medallist wrestler Nisha Dahiya are 2 different people."" ""The medallist wrestler belongs to Panipat and is at an event now,"" police added. The national level wrestler stated that she's fine after the reports surfaced.",sports,"Nisha Dahiya who was shot dead & medallist Nisha Dahiya are 2 different people: Police. After national level wrestler Nisha Dahiya denied reports claiming she and her brother were shot dead, police clarified, ""This Nisha Dahiya (who was shot dead) and medallist wrestler Nisha Dahiya are 2 different people."" ""The medallist wrestler belongs to Panipat and is at an event now,"" police added. The national level wrestler stated that she's fine after the reports surfaced.",nisha dahiya shoot dead medallist nisha dahiya different people police national level wrestler nisha dahiya deny report claim brother shoot dead police clarify nisha dahiya shoot dead medallist wrestler nisha dahiya different people medallist wrestler belong panipat event police add national level wrestler state fine report surface
"Wrestler Nisha shares video after reports said she had been shot dead, says she's fine","National level wrestler Nisha Dahiya has shared a video on Instagram Stories stating that she is fine after various reports claimed that she and her brother were shot dead in Haryana. ""I have come to Gonda for the senior national,"" she said. Wrestler Sakshi Malik also tweeted a picture with Nisha and wrote, ""She is alive.""",sports,"Wrestler Nisha shares video after reports said she had been shot dead, says she's fine. National level wrestler Nisha Dahiya has shared a video on Instagram Stories stating that she is fine after various reports claimed that she and her brother were shot dead in Haryana. ""I have come to Gonda for the senior national,"" she said. Wrestler Sakshi Malik also tweeted a picture with Nisha and wrote, ""She is alive.""",wrestler nisha shares video report say shoot dead say fine national level wrestler nisha dahiya share video instagram story state fine various report claim brother shoot dead haryana come gonda senior national say wrestler sakshi malik also tweet picture nisha write alive
Man arrested for rape threats to Virat Kohli's daughter is IIT Hyderabad graduate,The 23-year-old software engineer who was arrested for issuing online rape threat to Virat Kohli's daughter had graduated from IIT Hyderabad. Ramnagesh Akubathini used to work with a top food delivery app headquartered in Bengaluru. He reportedly had an annual pay package of around ₹24 lakh but had recently quit as he wanted to pursue master's degree in the US.,sports,Man arrested for rape threats to Virat Kohli's daughter is IIT Hyderabad graduate. The 23-year-old software engineer who was arrested for issuing online rape threat to Virat Kohli's daughter had graduated from IIT Hyderabad. Ramnagesh Akubathini used to work with a top food delivery app headquartered in Bengaluru. He reportedly had an annual pay package of around ₹24 lakh but had recently quit as he wanted to pursue master's degree in the US.,man arrest rape threat virat kohli daughter iit hyderabad graduate year old software engineer arrest issue online rape threat virat kohli daughter graduate iit hyderabad ramnagesh akubathini use work top food delivery app headquarter bengaluru reportedly annual pay package around lakh recently quit want pursue master degree us
"Why are England, NZ players wearing black armbands in their T20 WC semi-final?","England and New Zealand players are wearing black armbands in their T20 World Cup semi-final match in Abu Dhabi. This is in tribute to Mohan Singh, chief curator of Sheikh Zayed Stadium, who passed away ahead of New Zealand-Afghanistan match on November 7. England and New Zealand players also observed a minute’s silence ahead of semi-final in memory of Mohan.",sports,"Why are England, NZ players wearing black armbands in their T20 WC semi-final?. England and New Zealand players are wearing black armbands in their T20 World Cup semi-final match in Abu Dhabi. This is in tribute to Mohan Singh, chief curator of Sheikh Zayed Stadium, who passed away ahead of New Zealand-Afghanistan match on November 7. England and New Zealand players also observed a minute’s silence ahead of semi-final in memory of Mohan.",england nz player wear black armband wc semi final england new zealand player wear black armband world cup semi final match abu dhabi tribute mohan singh chief curator sheikh zayed stadium pass away ahead new zealand afghanistan match november england new zealand player also observe minute silence ahead semi final memory mohan
